population	id_pl	bud_h	shoot_h	veg_h_min	veg_h_max	veg_h_mean	diff_veg_h_max_shoot_h	diff_veg_h_mean_shoot_h	a	b	c	d	e	f	n_fl	phen_index	most_adv	phen_index_p	most_adv_p	fr_int_h_max	fr_pred_h_max	n_intact_fruits	n_predated_fr	n_fruits_total	n_predated	fruit_set	n_fl_corrected	n_eggs_max	n_redants	n_blackants	dist_closest_redants	dist_closest_redants1	days_datalog	avg_d_mean	avg_d_sd	avg_d_min	avg_d_max	avg_d_range	avg_day_mean	avg_day_sd	avg_day_min	avg_day_max	avg_day_range	avg_d_mean_ja	avg_d_sd_ja	avg_d_min_ja	avg_d_max_ja	avg_d_range_ja	avg_day_mean_ja	avg_day_sd_ja	avg_day_min_ja	avg_day_max_ja	avg_day_range_ja
Tånga Hed	T_15_033	27,2	26,6	10	10	10	-16,6	-16,6	3	8	1	0	0	0	12	1,833333333	3	3,186507937	5,214285714	45	39,5	5	1	6	2	0,5	12	18	6	2	46	0	33	16,8541667	2,23811926	14	20,2575758	6,25757576	18,0575758	1,81957357	15,6212121	20,2575758	4,63636364	17,2401316	2,41695259	14,2368421	20,8947368	6,65789474	18,5526316	1,94430167	15,9473684	20,8947368	4,94736842
Tånga Hed	T_15_034	20	22	10	20	15	-2	-7	4	2	0	0	0	0	6	1,333333333	2	2,317460317	3,476190476	37,8		1	0	1	0	0,166666667	6	0	1	1	60	0	33	16,4943182	2,53720655	13,5	20,6969697	7,1969697	17,8090909	2,19068283	15,0454545	20,6969697	5,65151515	16,8059211	2,67878701	13,6315789	21,1052632	7,47368421	18,2315789	2,23296287	15,3157895	21,1052632	5,78947368
Tånga Hed	T_15_035	21,6	25,5	10	20	15	-5,5	-10,5	2	8	1	0	0	0	11	1,909090909	3	3,318181818	5,214285714	38,3		4	0	4	1	0,363636364	11	5	2	1	13	0	33	16,4943182	2,53720655	13,5	20,6969697	7,1969697	17,8090909	2,19068283	15,0454545	20,6969697	5,65151515	16,8059211	2,67878701	13,6315789	21,1052632	7,47368421	18,2315789	2,23296287	15,3157895	21,1052632	5,78947368
Tånga Hed	T_15_036	32,9	23,7	10	15	12,5	-8,7	-11,2	0	2	2	1	0	0	5	2,8	4	4,866666667	6,952380952	39	36,4	3	1	4	2	0,8	5	6	5	0	13	0	33	17,0984848	2,81526319	13,6666667	21,6969697	8,03030303	18,6212121	2,32139797	15,7121212	21,6969697	5,98484848	17,4736842	2,86656899	13,9736842	22,0526316	8,07894737	19,0368421	2,32590912	16,0789474	22,0526316	5,97368421
Tånga Hed	T_15_037	29,4	24	10	15	12,5	-9	-11,5	0	2	2	1	0	0	5	2,8	4	4,866666667	6,952380952	42,8	39,3	3	1	4	1	0,8	5	6	1	1	13	0	33	16,3522727	2,36753165	13,3030303	19,7272727	6,42424242	17,6757576	1,81641946	15,2727273	19,7272727	4,45454545	16,7467105	2,57699326	13,4736842	20,3157895	6,84210526	18,2	1,94788952	15,6315789	20,3157895	4,68421053
Tånga Hed	T_15_038	25,2	17	10	15	12,5	-2	-4,5	0	3	1	0	0	0	4	2,25	3	3,910714286	5,214285714	41,8		3	0	3	0	0,75	4	0	0	0	10	10	33	16,3522727	2,36753165	13,3030303	19,7272727	6,42424242	17,6757576	1,81641946	15,2727273	19,7272727	4,45454545	16,7467105	2,57699326	13,4736842	20,3157895	6,84210526	18,2	1,94788952	15,6315789	20,3157895	4,68421053
Tånga Hed	T_15_039	25,5	24,5	10	10	10	-14,5	-14,5	1	6	1	0	0	0	8	2	3	3,476190476	5,214285714	47,7	31	6	1	7	1	0,875	8	0	2	1	26	0	33	17,1799242	3,19152822	13,5757576	22,5757576	9	18,830303	2,82500113	15,3636364	22,5757576	7,21212121	17,4605263	3,19492348	13,8421053	22,7105263	8,86842105	19,1368421	2,76976972	15,6842105	22,7105263	7,02631579
Tånga Hed	T_15_040	45,7	20,5	10	20	15	-0,5	-5,5	0	0	5	0	1	0	6	3,333333333	5	5,793650794	8,69047619	44	45,3	4	3	7	3	1	7	6	1	0	10	0	33	16,9810606	2,73546067	13,7575758	21,5606061	7,8030303	18,4121212	2,36411356	15,3787879	21,5606061	6,18181818	17,2631579	2,77961993	13,9736842	21,7894737	7,81578947	18,7368421	2,35159652	15,6842105	21,7894737	6,10526316
Tånga Hed	T_15_041	32,7	25	10	20	15	-5	-10	0	0	4	1	0	0	5	3,2	4	5,561904762	6,952380952	53,5	38,3	4	1	5	1	1	5	5	0	0	40	40	33	17,1477273	3,20534928	13,469697	22,8030303	9,33333333	18,8363636	2,7591418	15,6969697	22,8030303	7,10606061	17,5361842	3,33641581	13,6842105	23,2368421	9,55263158	19,3263158	2,79114683	16,0526316	23,2368421	7,18421053
Tånga Hed	T_15_042	36,2	28,5	15	20	17,5	-8,5	-11	0	2	4	1	0	0	7	2,857142857	4	4,965986395	6,952380952	57,1	39,8	5	2	7	2	1	7	8	2	1	93	0	33	16,5776515	2,54718806	13,469697	20,6818182	7,21212121	17,8939394	2,17618014	15,1212121	20,6818182	5,56060606	16,8289474	2,581174	13,6315789	20,8157895	7,18421053	18,2	2,11144315	15,4473684	20,8157895	5,36842105
Tånga Hed	T_15_043	24,1	22	10	15	12,5	-7	-9,5	0	4	1	0	0	0	5	2,2	3	3,823809524	5,214285714	44,7		4	0	4	0	0,8	5	1	11	0	35	0	33	16,5170455	3,19218146	12,7727273	22,1515152	9,37878788	18,2181818	2,69413082	15,2575758	22,1515152	6,89393939	16,8421053	3,33761814	12,8947368	22,5526316	9,65789474	18,6578947	2,72367085	15,5789474	22,5526316	6,97368421
Tånga Hed	T_15_044	38,4	26	10	20	15	-6	-11	0	0	5	1	0	0	6	3,166666667	4	5,503968254	6,952380952	52,1	51	6	0	6	0	1	6	0	15	1	37	0	33	16,5170455	3,19218146	12,7727273	22,1515152	9,37878788	18,2181818	2,69413082	15,2575758	22,1515152	6,89393939	16,8421053	3,33761814	12,8947368	22,5526316	9,65789474	18,6578947	2,72367085	15,5789474	22,5526316	6,97368421
Tånga Hed	T_15_045	25,7	17,5	10	20	15	2,5	-2,5	1	2	1	0	0	0	4	2	3	3,476190476	5,214285714	41,6		0	0	0	1	0	4	6	18	0	10	0	33	16,9810606	2,73546067	13,7575758	21,5606061	7,8030303	18,4121212	2,36411356	15,3787879	21,5606061	6,18181818	17,2631579	2,77961993	13,9736842	21,7894737	7,81578947	18,7368421	2,35159652	15,6842105	21,7894737	6,10526316
