"id_pl"	"population"	"shoot_h"	"veg_height"	"fl_phenology"	"n_intact_fruits"	"fl_number"	"n_eggs"	"n_myrmica"	"soil_temp"
"153"	"R_15_049"	"Remmene"	25	26	1	0	3	0	2	12,9655172
"154"	"R_15_050"	"Remmene"	19	14	1	0	2	11	2	12,6206897
"155"	"R_15_051"	"Remmene"	18	40	1	2	4	0	2	12,3448276
"156"	"R_15_052"	"Remmene"	16	27,5	1	0	1	0	0	12,0172414
"157"	"R_15_053"	"Remmene"	20	40	1	0	3	0	2	13,0862069
"158"	"R_15_054"	"Remmene"	22	47,5	2	0	3	13	2	11,4655172
"159"	"R_15_055"	"Remmene"	21	25	2	0	2	1	0	8,94827586
"160"	"R_15_056"	"Remmene"	14	35	2	0	2	3	3	11,137931
"161"	"R_15_057"	"Remmene"	16	35	2	0	2	4	0	12,7586207
"162"	"R_15_058"	"Remmene"	16	25	2	0	1	0	1	12,6034483
"163"	"R_15_059"	"Remmene"	13	25	2	0	1	0	0	12,7758621
"164"	"R_15_060"	"Remmene"	21	30	3	0	3	6	3	12,4310345
"165"	"R_15_061"	"Remmene"	30	40	3	1	4	7	1	11,6896552
"166"	"R_15_062"	"Remmene"	37,5	40	2	1	5	9	3	10,3448276
"167"	"R_15_064"	"Remmene"	29	27,5	4	0	5	7	4	11,5862069
"168"	"R_15_065"	"Remmene"	23	40	2	0	1	0	10	11,5862069
"169"	"R_15_066"	"Remmene"	39	40	2	0	5	0	3	12,4827586
"170"	"R_15_067"	"Remmene"	24	35	4	0	3	2	1	11,9310345
"171"	"R_15_068"	"Remmene"	26	30	1	0	3	1	0	10,1034483
"172"	"R_15_069"	"Remmene"	20	25	1	0	1	0	1	14,4827586
"173"	"R_15_070"	"Remmene"	15	20	2	0	1	7	0	10,1206897
"174"	"R_15_071"	"Remmene"	18	47,5	1	0	1	3	4	9,70689655
"175"	"R_15_072"	"Remmene"	21	35	2	0	2	1	12	11,0517241
"176"	"R_15_073"	"Remmene"	19	35	2	0	1	0	3	10,5172414
"177"	"R_15_074"	"Remmene"	20	30	3	0	3	3	10	11,5344828
"178"	"R_15_075"	"Remmene"	21	27,5	2	0	2	13	3	12,4310345
"179"	"R_15_076"	"Remmene"	20	30	4	0	5	4	1	12,3275862
"180"	"R_15_077"	"Remmene"	30	35	4	0	5	22	0	12,5862069
"181"	"R_15_078"	"Remmene"	26	52,5	2	0	3	4	0	11,7931034
"182"	"R_15_079"	"Remmene"	25	52,5	1	0	3	6	11	12,6206897
"183"	"R_15_080"	"Remmene"	17	40	1	0	5	0	0	11,6551724
"184"	"R_15_081"	"Remmene"	16	35	4	1	4	0	0	12,5344828
"185"	"R_15_082"	"Remmene"	22	40	4	0	4	11	0	12,137931
"186"	"R_15_083"	"Remmene"	22	40	3	1	5	5	0	12,2586207
"187"	"R_15_086"	"Remmene"	26	35	5	1	7	2	0	12,6896552
"188"	"R_15_088"	"Remmene"	30	40	3	0	5	5	1	12,1551724
"189"	"R_15_089"	"Remmene"	24	30	1	0	2	0	2	12,1206897
"190"	"R_15_090"	"Remmene"	16	37,5	1	0	2	0	1	13,0172414
"191"	"R_15_091"	"Remmene"	18	37,5	2	0	4	0	1	11,7413793
"192"	"R_15_092"	"Remmene"	21	37,5	2	0	4	0	1	12,5344828
"193"	"R_15_093"	"Remmene"	33	50	4	1	10	30	0	11,5344828
"194"	"R_15_094"	"Remmene"	25	40	2	0	5	0	0	12,4482759
"195"	"R_15_095"	"Remmene"	33	40	3	0	6	2	0	11,2758621
"196"	"R_15_096"	"Remmene"	36	45	2	1	6	1	0	11,137931
"197"	"R_15_097"	"Remmene"	18,5	30	1	0	2	0	4	10,6896552
"198"	"R_15_098"	"Remmene"	16	45	5	0	3	0	0	12,5172414
"199"	"R_15_099"	"Remmene"	35	45	3	1	5	2	1	12,2413793
"200"	"R_15_100"	"Remmene"	26	45	2	0	3	0	0	12,1724138
"201"	"T_15_001"	"Tånga Hed"	8,7	22,5	5	4	9	0	0	14,8421053
"202"	"T_15_002"	"Tånga Hed"	23,7	30	5	8	16	4	0	14,9210526
"203"	"T_15_003"	"Tånga Hed"	26,7	17,5	3	5	6	0	0	13,5526316
"204"	"T_15_004"	"Tånga Hed"	25,5	25	4	7	8	0	0	13,8157895
"205"	"T_15_005"	"Tånga Hed"	29,5	35	3	7	9	0	1	14,2631579
"206"	"T_15_006"	"Tånga Hed"	23,3	27,5	4	5	9	2	6	13,8684211
"207"	"T_15_007"	"Tånga Hed"	22,7	27,5	3	7	8	1	7	13,8684211
"208"	"T_15_008"	"Tånga Hed"	14	35	4	4	4	0	0	14,2631579
"209"	"T_15_009"	"Tånga Hed"	20	22,5	2	0	3	0	35	13,5
"210"	"T_15_010"	"Tånga Hed"	24,5	22,5	4	6	8	3	30	13,5
"211"	"T_15_011"	"Tånga Hed"	22,2	15	3	3	5	5	0	13,9210526
"212"	"T_15_012"	"Tånga Hed"	23	40	5	1	8	4	20	14,1578947
"213"	"T_15_013"	"Tånga Hed"	19,5	10	4	1	6	14	1	13,7631579
"214"	"T_15_014"	"Tånga Hed"	21	27,5	5	4	4	0	5	14,7368421
"215"	"T_15_015"	"Tånga Hed"	15	10	3	0	4	2	20	13,9473684
"216"	"T_15_016"	"Tånga Hed"	21	15	2	0	7	5	12	10,4473684
"217"	"T_15_017"	"Tånga Hed"	29	40	3	2	7	12	40	13,4736842
"218"	"T_15_018"	"Tånga Hed"	35	27,5	3	4	12	7	20	13,5526316
"219"	"T_15_019"	"Tånga Hed"	36	27,5	4	4	11	16	15	13,5526316
"220"	"T_15_020"	"Tånga Hed"	24,5	35	2	2	4	0	45	14,7631579
"221"	"T_15_021"	"Tånga Hed"	23	12,5	2	1	7	13	15	13,6052632
"222"	"T_15_022"	"Tånga Hed"	26	35	4	3	9	25	45	13,6315789
"223"	"T_15_023"	"Tånga Hed"	18	10	3	3	4	0	0	13,6052632
"224"	"T_15_024"	"Tånga Hed"	35	30	3	5	10	9	7	13,2631579
"225"	"T_15_025"	"Tånga Hed"	26,5	27,5	4	4	6	2	0	13,3157895
"226"	"T_15_026"	"Tånga Hed"	17,5	17,5	4	3	6	8	11	13,5789474
"227"	"T_15_027"	"Tånga Hed"	22,5	10	3	3	5	1	16	13,7105263
"228"	"T_15_028"	"Tånga Hed"	26,5	15	4	4	5	4	4	13,6842105
"229"	"T_15_029"	"Tånga Hed"	31	12,5	4	5	5	0	8	13,6052632
"230"	"T_15_030"	"Tånga Hed"	23	17,5	3	3	5	4	15	13,6052632
"231"	"T_15_031"	"Tånga Hed"	17	10	2	2	3	0	0	13,7631579
"232"	"T_15_032"	"Tånga Hed"	25,5	15	4	4	8	2	0	13,7631579
"233"	"T_15_033"	"Tånga Hed"	26,6	10	3	5	12	18	6	14,2368421
"234"	"T_15_034"	"Tånga Hed"	22	15	2	1	6	0	1	13,6315789
"235"	"T_15_035"	"Tånga Hed"	25,5	15	3	4	11	5	2	13,6315789
"236"	"T_15_036"	"Tånga Hed"	23,7	12,5	4	3	5	6	5	13,9736842
"237"	"T_15_037"	"Tånga Hed"	24	12,5	4	3	5	6	1	13,4736842
"238"	"T_15_038"	"Tånga Hed"	17	12,5	3	3	4	0	0	13,4736842
"239"	"T_15_039"	"Tånga Hed"	24,5	10	3	6	8	0	2	13,8421053
"240"	"T_15_040"	"Tånga Hed"	20,5	15	5	4	7	6	1	13,9736842
"241"	"T_15_041"	"Tånga Hed"	25	15	4	4	5	5	0	13,6842105
"242"	"T_15_042"	"Tånga Hed"	28,5	17,5	4	5	7	8	2	13,6315789
"243"	"T_15_043"	"Tånga Hed"	22	12,5	3	4	5	1	11	12,8947368
"244"	"T_15_044"	"Tånga Hed"	26	15	4	6	6	0	15	12,8947368
"245"	"T_15_045"	"Tånga Hed"	17,5	15	3	0	4	6	18	13,9736842
"246"	"T_15_046"	"Tånga Hed"	21,5	12,5	3	2	4	2	12	13,5625
"247"	"T_15_047"	"Tånga Hed"	12	12,5	1	1	1	0	7	13,5625
"248"	"T_15_048"	"Tånga Hed"	16,5	12,5	3	1	2	0	11	13,9736842
"249"	"T_15_049"	"Tånga Hed"	27,5	27,5	4	4	6	3	6	13,6842105
"250"	"T_15_050"	"Tånga Hed"	30,3	15	3	5	7	2	3	13,8421053
"251"	"T_15_051"	"Tånga Hed"	33	17,5	3	3	9	8	11	14
"252"	"T_15_052"	"Tånga Hed"	20	15	4	6	9	4	10	13,6578947
"253"	"T_15_053"	"Tånga Hed"	19	12,5	3	2	5	0	10	13,5789474
"254"	"T_15_054"	"Tånga Hed"	19,7	15	4	1	3	5	5	13,9210526
"255"	"T_15_055"	"Tånga Hed"	16,5	20	2	1	2	0	20	13,2631579
"256"	"T_15_056"	"Tånga Hed"	38	30	4	15	17	0	20	13,2105263
"257"	"T_15_057"	"Tånga Hed"	18,5	15	4	4	6	4	1	13,0526316
"258"	"T_15_058"	"Tånga Hed"	14	5	2	1	5	2	13	13,5526316
"259"	"T_15_059"	"Tånga Hed"	18	15	3	3	4	0	35	14,5263158
"260"	"T_15_060"	"Tånga Hed"	24	22	3	3	5	4	20	13,7631579
