"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"37"	"H_15_060"	"Högsjön"	19	40	1	0	0	"H"	17.5872340425532	19.9787234042553	15.5957446808511	1.73101540867429	4.38297872340426	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"38"	"H_15_065"	"Högsjön"	13	40	0	0	0	"H"	17.7553191489362	20.1276595744681	15.8085106382979	1.78485089564653	4.31914893617021	2	0	0	0	0	0	2	1	1	1	0	0	1	0	0	2	2.5	4	2	211	241
"39"	"H_15_067"	"Högsjön"	22.5	27.5	1	3	0	"H"	16.036170212766	18.1489361702128	13.2659574468085	1.93485430557191	4.88297872340426	1	2	0	0	0	0	3	1.666666667	2	0	0	0	1	0	1	2	5	6	3	211	241
"40"	"H_15_068"	"Högsjön"	20	40	0	0	0	"H"	16.4148936170213	17.436170212766	15.2765957446809	0.919111701067359	2.15957446808511	2	1	0	0	0	0	3	1.333333333	2	1	0	0	0	1	0	2	3	5	3	211	241
"41"	"H_15_069"	"Högsjön"	22	25	0	9	0	"H"	17.2148936170213	19	15.4468085106383	1.54613154206837	3.5531914893617	2	1	0	0	0	0	3	1.333333333	2	0	0	2	0	0	1	3	4	6	3	211	241
"42"	"H_15_070"	"Högsjön"	25	40	0	6	0	"H"	16.1531914893617	17.0212765957447	15.1489361702128	0.782960933495567	1.87234042553191	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"43"	"H_15_071"	"Högsjön"	21	40	0	0	0	"H"	16.7893617021277	18.4468085106383	15.3723404255319	1.24444055139802	3.07446808510638	1	1	0	0	0	0	2	1.5	2	0	0	0	1	1	0	2	4.5	5	2	211	241
"44"	"H_15_073"	"Högsjön"	28	45	1	3	0	"H"	16.3212765957447	17.3936170212766	15.1595744680851	0.909538101667455	2.23404255319149	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"45"	"H_15_074"	"Högsjön"	23	60	1	0	0	"H"	15.7489361702128	16.8085106382979	14.531914893617	0.94014318332637	2.27659574468085	2	0	0	0	0	0	2	1	1	0	1	0	1	0	0	2	3	4	2	211	241
"46"	"H_15_075"	"Högsjön"	19.5	17.5	0	0	0	"H"	16.5106382978723	17.6063829787234	15.3085106382979	0.946868846632826	2.29787234042553	3	0	0	0	0	0	3	1	1	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"47"	"H_15_076"	"Högsjön"	23.5	30	1	9	15	"H"	17.0255319148936	18.3085106382979	15.7340425531915	1.05977596806456	2.57446808510638	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	0	1	2	5	6	3	211	241
"48"	"H_15_078"	"Högsjön"	19	32.5	0	0	0	"H"	17.431914893617	20.0212765957447	15.6595744680851	1.81024547220056	4.36170212765957	0	1	0	0	0	0	1	2	2	0	0	1	0	0	0	1	3	3	1	211	241
"49"	"H_15_079"	"Högsjön"	25	32.5	0	0	0	"H"	17.4276595744681	18.7446808510638	16.0744680851064	1.11874736107993	2.67021276595745	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"50"	"H_15_080"	"Högsjön"	25	47.5	0	0	0	"H"	16.5085106382979	17.1170212765957	15.7340425531915	0.590089710523467	1.38297872340426	2	1	0	0	0	0	3	1.333333333	2	2	0	0	0	1	0	3	2.333333333	5	3	211	241
"51"	"H_15_083"	"Högsjön"	14	40	0	0	0	"H"	16.4787234042553	17.3936170212766	15.2659574468085	0.923206697600611	2.12765957446809	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"52"	"H_15_086"	"Högsjön"	20.5	37.5	0	2	3	"H"	15.1382978723404	15.7872340425532	14.3085106382979	0.638544197884827	1.47872340425532	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
"53"	"H_15_087"	"Högsjön"	31	32.5	1	0	0	"H"	16.3510638297872	17.4042553191489	15.2234042553191	0.865380689642019	2.18085106382979	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	1	0	2	4.5	5	3	211	241
"54"	"H_15_092"	"Högsjön"	23	35	0	0	15	"H"	15.6978723404255	16.531914893617	14.6702127659574	0.771039119408524	1.86170212765957	1	1	0	0	0	0	2	1.5	2	1	0	0	0	1	0	2	3	5	2	211	241
"55"	"H_15_095"	"Högsjön"	22	40	1	0	8	"H"	14.8659574468085	15.6170212765957	13.7765957446809	0.769748430540525	1.84042553191489	3	0	0	0	0	0	3	1	1	1	1	1	0	0	0	3	2	3	3	211	241
"56"	"H_15_096"	"Högsjön"	19	35	0	2	22	"H"	16.3787234042553	18.468085106383	14.6382978723404	1.54262267343448	3.82978723404255	3	1	0	0	0	0	4	1.25	2	0	0	2	0	0	1	3	4	6	4	211	241
