"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"redants_pres"	"ants_t"	"t_shoot_h"	"t_veg_h_mean"	"t_n_intact_fruits"	"t_n_eggs_max"	"t_n_redants"	"t_meanT"	"id"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"40"	"H_15_068"	"Högsjön"	20	40	0	0	0	"H"	16.4148936170213	17.436170212766	15.2765957446809	0.919111701067359	2.15957446808511	"0"	0	-0.258285398793718	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.639707341928494	-0.208012348363703	41	2	1	0	0	0	0	3	1.333333333	2	1	0	0	0	1	0	2	3	5	3	211	241
"41"	"H_15_069"	"Högsjön"	22	25	0	9	0	"H"	17.2148936170213	19	15.4468085106383	1.54613154206837	3.5531914893617	"0"	0	0.0527937149821552	-0.831414332196574	-0.654636253008874	1.20392071197909	-0.639707341928494	0.380392951868809	42	2	1	0	0	0	0	3	1.333333333	2	0	0	2	0	0	1	3	4	6	3	211	241
"42"	"H_15_070"	"Högsjön"	25	40	0	6	0	"H"	16.1531914893617	17.0212765957447	15.1489361702128	0.782960933495567	1.87234042553191	"0"	0	0.519412385645964	0.437051543819715	-0.654636253008874	0.604840549080406	-0.639707341928494	-0.400495997109977	43	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"43"	"H_15_071"	"Högsjön"	21	40	0	0	0	"H"	16.7893617021277	18.4468085106383	15.3723404255319	1.24444055139802	3.07446808510638	"0"	0	-0.102745841905781	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.0674114091919416	44	1	1	0	0	0	0	2	1.5	2	0	0	0	1	1	0	2	4.5	5	2	211	241
"44"	"H_15_073"	"Högsjön"	28	45	1	3	0	"H"	16.3212765957447	17.3936170212766	15.1595744680851	0.909538101667455	2.23404255319149	"0"	0	0.986031056309774	0.859873502491812	1.29056861307464	0.00576038618171813	-0.639707341928494	-0.276868287752614	45	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"45"	"H_15_074"	"Högsjön"	23	60	1	0	0	"H"	15.7489361702128	16.8085106382979	14.531914893617	0.94014318332637	2.27659574468085	"0"	0	0.208333271870092	2.1283393785081	1.29056861307464	-0.59331977671697	-0.639707341928494	-0.697828462653004	46	2	0	0	0	0	0	2	1	1	0	1	0	1	0	0	2	3	4	2	211	241
"46"	"H_15_075"	"Högsjön"	19.5	17.5	0	0	0	"H"	16.5106382978723	17.6063829787234	15.3085106382979	0.946868846632826	2.29787234042553	"0"	0	-0.336055177237686	-1.46564727020472	-0.654636253008874	-0.59331977671697	-0.639707341928494	-0.137591501261408	47	3	0	0	0	0	0	3	1	1	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"47"	"H_15_076"	"Högsjön"	23.5	30	1	9	15	"H"	17.0255319148936	18.3085106382979	15.7340425531915	1.05977596806456	2.57446808510638	"1"	2.77258872223978	0.28610305031406	-0.408592373524478	1.29056861307464	1.20392071197909	1.33251292172457	0.241116165377602	48	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	0	1	2	5	6	3	211	241
"48"	"H_15_078"	"Högsjön"	19	32.5	0	0	0	"H"	17.431914893617	20.0212765957447	15.6595744680851	1.81024547220056	4.36170212765957	"0"	0	-0.413824955681654	-0.197181394188429	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.540013538634014	49	0	1	0	0	0	0	1	2	2	0	0	1	0	0	0	1	3	3	1	211	241
"49"	"H_15_079"	"Högsjön"	25	32.5	0	0	0	"H"	17.4276595744681	18.7446808510638	16.0744680851064	1.11874736107993	2.67021276595745	"0"	0	0.519412385645964	-0.197181394188429	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.536883723207243	50	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
